metric,metric_preference,human_preference,n
litransproqa,HT,HT,15
litransproqa,HT,MT,9
litransproqa,MT,HT,197
litransproqa,MT,MT,95
litransproqa,tie,HT,310
litransproqa,tie,MT,146
metricx-qe,HT,HT,209
metricx-qe,HT,MT,103
metricx-qe,MT,HT,311
metricx-qe,MT,MT,147
paragraph_mean_cometkiwi,HT,HT,53
paragraph_mean_cometkiwi,HT,MT,41
paragraph_mean_cometkiwi,MT,HT,456
paragraph_mean_cometkiwi,MT,MT,204
paragraph_mean_metricx-qe,HT,HT,153
paragraph_mean_metricx-qe,HT,MT,101
paragraph_mean_metricx-qe,MT,HT,367
paragraph_mean_metricx-qe,MT,MT,149
