metric,metric_preference,human_preference_hard_as_tie,n
litransproqa,HT,HT,6
litransproqa,HT,MT,5
litransproqa,HT,tie,13
litransproqa,MT,HT,154
litransproqa,MT,MT,55
litransproqa,MT,tie,83
litransproqa,tie,HT,235
litransproqa,tie,MT,79
litransproqa,tie,tie,142
metricx-qe,HT,HT,152
metricx-qe,HT,MT,61
metricx-qe,HT,tie,99
metricx-qe,MT,HT,242
metricx-qe,MT,MT,78
metricx-qe,MT,tie,138
paragraph_mean_cometkiwi,HT,HT,33
paragraph_mean_cometkiwi,HT,MT,25
paragraph_mean_cometkiwi,HT,tie,36
paragraph_mean_cometkiwi,MT,HT,355
paragraph_mean_cometkiwi,MT,MT,110
paragraph_mean_cometkiwi,MT,tie,195
paragraph_mean_metricx-qe,HT,HT,112
paragraph_mean_metricx-qe,HT,MT,63
paragraph_mean_metricx-qe,HT,tie,79
paragraph_mean_metricx-qe,MT,HT,282
paragraph_mean_metricx-qe,MT,MT,76
paragraph_mean_metricx-qe,MT,tie,158
